PARTICULARS,Total,For 1-Jan 2018,For 2-Jan 2018,For 3-Jan 2018,For 4-Jan 2018,For 5-Jan 2018
,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity
Combo,1806,111,43,40,55,15
Adults,1050,83,29,34,37,12
Adults Group,15,,,,,
Children,527,21,,5,6,2
College Students,148,5,11,,8,
Ex-Defence and Govt. Officers,27,,,,2,
Foreign Adults,,,,,,
Sr. Citizens,39,2,3,1,2,1
Students,,,,,,
Documentary,556,26,37,14,19,31
Adults,79,10,5,1,,2
Adults Group,,,,,,
Children,151,3,4,,,
College Students,,,,,,
Ex-Defence and Govt. Officers,,,,,,
Foreign Adults,321,13,28,13,19,29
Sr. Citizens,2,,,,,
Students,3,,,,,
Museum,62113,3689,1724,1220,1368,1875
Adults,21505,1584,663,252,500,482
Adults Group,17490,1234,635,277,431,495
Children,8828,561,,82,147,372
College Students,3869,145,186,37,43,70
Ex-Defence and Govt. Officers,458,10,9,3,8,10
Foreign Adults,6466,138,209,421,160,197
Friends & Relatives,,,,,,
Sr. Citizens,905,17,22,13,35,33
Students,2592,,,135,44,216
Economy,10,3,2,,,
PR Gallery Guide Tickets,,,,,,
Special Photo Pass,,,,,,
Special Viewing,25,,,,,
GRAND TOTAL,64510,3829,1806,1274,1442,1921