PARTICULARS,For 6-Jan 2018,For 7-Jan 2018,For 8-Jan 2018,For 9-Jan 2018,For 10-Jan 2018,For 11-Jan 2018
,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity,Outwards Quantity
Combo,130,111,,52,,
Adults,46,81,,27,,
Adults Group,,,,15,,
Children,81,18,,,,
College Students,3,7,,3,,
Ex-Defence and Govt. Officers,,4,,1,,
Foreign Adults,,,,,,
Sr. Citizens,,1,,6,,
Students,,,,,,
Documentary,21,46,,22,,
Adults,1,6,,,,
Adults Group,,,,,,
Children,,,,4,,
College Students,,,,,,
Ex-Defence and Govt. Officers,,,,,,
Foreign Adults,20,40,,18,,
Sr. Citizens,,,,,,
Students,,,,,,
Museum,2470,3242,1330,1181,1425,1952
Adults,841,1473,425,488,455,544
Adults Group,608,697,505,411,361,481
Children,398,416,152,,67,215
College Students,227,119,112,83,149,126
Ex-Defence and Govt. Officers,24,26,6,8,9,14
Foreign Adults,321,209,115,160,364,205
Friends & Relatives,,,,,,
Sr. Citizens,27,41,15,31,20,24
Students,24,261,,,,343
Economy,,,,,,
PR Gallery Guide Tickets,,,,,,
Special Photo Pass,,,,,,
Special Viewing,,,,,,
GRAND TOTAL,2621,3399,1330,1255,1425,1952